time,temp
13.76,2025-04-1111:39:54
13.76,2025-04-1111:51:18
11.76,2025-04-1113:17:38
11.76,2025-04-1113:47:05
11.76,2025-04-1113:58:04
10.76,2025-04-1114:40:16
10.76,2025-04-1114:51:07
9.76,2025-04-1115:34:16
9.76,2025-04-1115:46:29
9.76,2025-04-1115:57:39
9.76,2025-04-1116:47:44
9.76,2025-04-1116:58:33
9.76,2025-04-1117:30:55
9.76,2025-04-1117:44:14
9.76,2025-04-1117:55:21
9.76,2025-04-1118:47:23
9.76,2025-04-1118:58:11
10.76,2025-04-1119:25:29
10.76,2025-04-1119:39:44
10.76,2025-04-1119:51:01
9.76,2025-04-1120:32:56
9.76,2025-04-1120:45:22
9.76,2025-04-1120:56:15
9.76,2025-04-1121:29:38
9.76,2025-04-1121:41:09
9.76,2025-04-1121:52:01
10.76,2025-04-1122:38:23
10.76,2025-04-1122:50:32
15.76,2025-04-1123:28:35
15.76,2025-04-1123:41:54
15.76,2025-04-1123:53:02
21.76,2025-04-1203:06:29
21.76,2025-04-1203:49:23
19.76,2025-04-1204:39:39
15.76,2025-04-1204:50:50
16.76,2025-04-1205:32:13
16.76,2025-04-1205:42:58
16.76,2025-04-1206:44:10
16.76,2025-04-1206:55:14
15.76,2025-04-1207:26:48
15.76,2025-04-1207:39:47
15.76,2025-04-1207:50:59
11.76,2025-04-1208:38:04
11.76,2025-04-1208:51:24
8.76,2025-04-1209:31:15
8.76,2025-04-1209:42:13
8.76,2025-04-1209:53:06
6.76,2025-04-1210:35:09
6.76,2025-04-1210:46:05
6.76,2025-04-1210:56:54
6.41,2025-04-1211:23:20
4.76,2025-04-1211:38:26
4.76,2025-04-1211:49:42
4.76,2025-04-1213:01:41
1.76,2025-04-1213:34:30
1.76,2025-04-1213:45:42
0.76,2025-04-1213:56:42
0.76,2025-04-1214:32:13
0.76,2025-04-1214:43:07
0.76,2025-04-1214:54:14
0.76,2025-04-1215:29:34
0.76,2025-04-1215:42:42
0.76,2025-04-1215:53:58
0.76,2025-04-1216:39:18
0.76,2025-04-1216:52:05
1.76,2025-04-1217:32:24
1.76,2025-04-1217:43:05
1.76,2025-04-1217:54:21
2.76,2025-04-1218:40:57
2.76,2025-04-1218:51:48
3.76,2025-04-1219:22:00
3.76,2025-04-1219:37:27
3.76,2025-04-1219:48:32
3.76,2025-04-1219:59:27
4.76,2025-04-1220:31:22
4.76,2025-04-1220:42:42
4.76,2025-04-1220:53:40
4.76,2025-04-1221:26:55
4.76,2025-04-1221:39:52
4.76,2025-04-1221:50:43
6.76,2025-04-1222:32:39
6.76,2025-04-1222:43:50
6.76,2025-04-1222:54:54
6.76,2025-04-1304:18:36
3.76,2025-04-1305:34:50
3.76,2025-04-1305:50:17
6.76,2025-04-1306:43:37
6.76,2025-04-1306:54:38
6.76,2025-04-1307:27:27
6.76,2025-04-1307:39:23
6.76,2025-04-1307:50:42
6.76,2025-04-1308:39:06
6.76,2025-04-1308:50:46
6.76,2025-04-1309:32:14
6.76,2025-04-1309:43:38
6.76,2025-04-1309:54:52
5.76,2025-04-1310:39:23
5.76,2025-04-1310:50:30
5.76,2025-04-1311:22:28
5.76,2025-04-1311:37:53
5.76,2025-04-1311:49:02
5.76,2025-04-1311:59:51
5.76,2025-04-1313:04:38
5.76,2025-04-1313:43:26
5.76,2025-04-1313:54:10
5.76,2025-04-1314:32:02
5.76,2025-04-1314:43:01
5.76,2025-04-1314:54:29
5.76,2025-04-1315:32:21
5.76,2025-04-1315:43:35
5.76,2025-04-1315:54:56
4.76,2025-04-1316:43:20
4.76,2025-04-1316:54:26
4.76,2025-04-1317:30:52
1.76,2025-04-1317:42:12
1.76,2025-04-1317:53:35
0.76,2025-04-1318:41:08
0.76,2025-04-1318:52:20
2.76,2025-04-1319:21:30
2.76,2025-04-1319:37:17
2.76,2025-04-1319:48:35
2.76,2025-04-1319:59:27
2.76,2025-04-1320:32:00
2.76,2025-04-1320:43:32
2.76,2025-04-1320:54:44
3.76,2025-04-1321:28:07
3.76,2025-04-1321:39:58
3.76,2025-04-1321:50:55
3.76,2025-04-1322:33:51
3.76,2025-04-1322:45:13
3.76,2025-04-1322:56:28
4.76,2025-04-1323:31:56
4.76,2025-04-1323:45:21
4.76,2025-04-1323:56:05
6.76,2025-04-1403:15:32
6.76,2025-04-1403:56:27
5.76,2025-04-1404:42:23
5.76,2025-04-1404:53:10
6.76,2025-04-1405:38:35
6.76,2025-04-1405:49:29
5.76,2025-04-1406:50:10
5.76,2025-04-1407:31:11
5.76,2025-04-1407:42:45
5.76,2025-04-1407:53:42
5.76,2025-04-1408:47:55
5.76,2025-04-1408:58:56
5.76,2025-04-1409:39:00
5.76,2025-04-1409:49:55
5.76,2025-04-1410:42:38
5.76,2025-04-1410:53:41
5.76,2025-04-1411:26:34
5.76,2025-04-1411:40:09
5.76,2025-04-1411:51:31
4.76,2025-04-1413:35:48
4.76,2025-04-1413:51:32
3.76,2025-04-1414:41:42
3.76,2025-04-1414:52:39
3.76,2025-04-1415:33:29
3.76,2025-04-1415:47:01
3.76,2025-04-1415:58:13
2.76,2025-04-1416:49:52
1.76,2025-04-1417:32:44
1.76,2025-04-1417:44:02
1.76,2025-04-1417:54:51
0.76,2025-04-1418:48:53
0.76,2025-04-1418:59:59
-0.24,2025-04-1419:26:02
-0.24,2025-04-1419:40:04
-0.24,2025-04-1419:50:44
-1.24,2025-04-1420:36:51
